127.0.0.1 - - [27/Sep/2020:16:25:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:25:19 +0900] "GET /spring_mysql/board/ HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:25:19 +0900] "GET /spring_mysql/resources/js/jquery-3.5.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:25:19 +0900] "GET /spring_mysql/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:25:19 +0900] "GET /spring_mysql/resources/images/javascript.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:25:19 +0900] "GET /spring_mysql/resources/images/jquery.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:25:19 +0900] "GET /spring_mysql/resources/images/jsp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:25:19 +0900] "GET /spring_mysql/resources/images/spring.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:25:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:44:21 +0900] "GET /spring_mysql/company/ HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:44:22 +0900] "GET /spring_mysql/company/geocodingFind?address=%EC%84%9C%EC%9A%B8%EC%8B%9C%20%EA%B4%80%EC%95%85%EA%B5%AC%20%EA%B4%80%EC%B2%9C%EB%A1%9C24%EA%B8%B8%2026 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:44:27 +0900] "GET /spring_mysql/board/ HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:44:28 +0900] "GET /spring_mysql/company/ HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:44:28 +0900] "GET /spring_mysql/company/geocodingFind?address=%EC%84%9C%EC%9A%B8%EC%8B%9C%20%EA%B4%80%EC%95%85%EA%B5%AC%20%EA%B4%80%EC%B2%9C%EB%A1%9C24%EA%B8%B8%2026 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:45:19 +0900] "GET /spring_mysql/company/ HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:45:19 +0900] "GET /spring_mysql/company/geocodingFind?address=%EC%84%9C%EC%9A%B8%EC%8B%9C%20%EA%B4%80%EC%95%85%EA%B5%AC%20%EA%B4%80%EC%B2%9C%EB%A1%9C24%EA%B8%B8%2026 HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:45:22 +0900] "GET /spring_mysql/board/ HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:46:24 +0900] "GET /spring_mysql/login/ HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:46:44 +0900] "GET /spring_mysql/board/ HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:47:25 +0900] "GET /spring_mysql/login/ HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:49:12 +0900] "GET /spring_mysql/member/join HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [27/Sep/2020:16:56:37 +0900] "GET /spring_mysql/login/ HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [27/Sep/2020:17:00:01 +0900] "GET /spring_mysql/member/join HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [27/Sep/2020:17:00:54 +0900] "GET /spring_mysql/member/join HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [27/Sep/2020:17:00:59 +0900] "GET /spring_mysql/member/join HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:20:13 +0900] "GET /spring_mysql/board/ HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:20:14 +0900] "GET /spring_mysql/login/ HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:20:18 +0900] "POST /spring_mysql/login/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:20:18 +0900] "GET /spring_mysql/login/login HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:20:20 +0900] "GET /spring_mysql/login/ HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:20:21 +0900] "GET /spring_mysql/member/join HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:20:31 +0900] "POST /spring_mysql/member/join HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:20:31 +0900] "GET /spring_mysql/member/login HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:21:36 +0900] "GET /spring_mysql/member/login HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:21:37 +0900] "GET /spring_mysql/member/login HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:21:38 +0900] "GET /spring_mysql/member/join HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:21:46 +0900] "GET /spring_mysql/board/ HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:21:47 +0900] "GET /spring_mysql/login/ HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:21:50 +0900] "POST /spring_mysql/login/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:21:51 +0900] "GET /spring_mysql/board/list HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [27/Sep/2020:18:21:57 +0900] "GET /spring_mysql/board/list?findKey=writer&findValue= HTTP/1.1" 200 10059
